Index,Date,Year,Country,Area,Location,Injury,lat,lng,success,lookupstring,failedstrings,confidence,match loop
0,2022-09-03,2022.0,USA,Hawaii,"Lower Paia Beach Park, Maui",Injuries to left arm and right hand,20.0,-155.0,Yes,"Maui, Hawaii, USA",,1.0,2.0
1,2022-07-03,2022.0,USA,New York,"Smith Point Beach, Suffolk County",Injuries to chest and right hand,41.0,-74.0,Yes,"Suffolk County, New York, USA",,1.0,2.0
2,2022-03-15,2022.0,NEW ZEALAND,South Island,Cobden,"No injury, shark leapt on surfboard",-37.0,175.0,Yes,"Cobden, South Island, NEW ZEALAND",,1.0,1.0
3,2021-01-07,2021.0,NEW ZEALAND,North Island,"Waihī  Beach, Bay of Plenty",FATAL,-37.0,176.0,Yes,"Waihī  Beach, Bay of Plenty, NEW ZEALAND",,0.81,4.0
4,2020-12-06,2020.0,USA,Oregon,"Seaside Cove, Clatsop County",Non-life-threatening to left lower leg & foot,46.0,-124.0,Yes,"Seaside Cove, Clatsop County, Oregon, USA",,0.9,1.0
5,2020-11-02,2020.0,AUSTRALIA,New South Wales,"Town Beach, Port Macquarie","Minor injury to left foot, leg and finger",-31.0,153.0,Yes,"Town Beach, Port Macquarie, New South Wales, AUSTRALIA",,1.0,1.0
6,2020-08-22,2020.0,USA,Florida,"St. Augustine Beach, Anastasia Island, St. Johns County",Lacerations to sole of left foot,30.0,-81.0,Yes,"St. Augustine Beach, Anastasia Island, St. Johns County, Florida, USA",,1.0,1.0
7,2020-07-11,2020.0,AUSTRALIA,New South Wales,Wilsons Headland,FATAL,-37.0,144.0,Yes,"Wilsons Headland, AUSTRALIA",,0.81,4.0
8,2020-06-20,2020.0,USA,North Carolina,"Salvo, Dare County",Injury to thigh,36.0,-75.0,Yes,"Salvo, Dare County, North Carolina, USA",,1.0,1.0
9,2020-04-06,2020.0,AUSTRALIA,New South Wales,Wamberal Beach,Right hand bitten,-33.0,151.0,Yes,"Wamberal Beach, New South Wales, AUSTRALIA",,1.0,1.0
10,2020-01-17,2020.0,AUSTRALIA,New South Wales,Windang Beach,Laceration ot left ankle and foot,-35.0,151.0,Yes,"Windang Beach, New South Wales, AUSTRALIA",,0.9,1.0
11,2019-05-14,2019.0,USA,Hawaii,"Browns, Oahu","No injury, knocked of board by shark",41.0,-74.0,Yes,"Browns, Oahu, Hawaii, USA",,1.0,1.0
12,2018-09-19,2018.0,JAMAICA,St. Marys Parish,James Bond Beach,FATAL,,,Yes,"James Bond Beach, St. Marys Parish, JAMAICA",,0.3969,
13,2018-06-18,2018.0,USA,Georgia,"St. Simon Island, Glynn County",Minor injury to left thigh,31.0,-82.0,Yes,"Glynn County, Georgia, USA",,0.9,2.0
14,1018-06-01,2018.0,EGYPT,,Brothers Island,Laceration to right thigh,24.0,33.0,Yes,"Brothers Island, EGYPT",,1.0,1.0
15,2018-05-24,2018.0,AUSTRALIA,Queensland,Cairns Aquarium,Minor bite to hand by captive shark. PROVOKED INCIDENT,-22.0,145.0,Yes,"Queensland, AUSTRALIA",,1.0,5.0
16,2018-04-14,2018.0,BAHAMAS,New Providence,Nirvana Beach,No Injury. Shark swam away with the surf board,25.0,-77.0,Yes,"Nirvana Beach, New Providence, BAHAMAS",,1.0,1.0
17,2018-03-14,2018.0,AUSTRALIA,Western Australia,Waterman's Bay,Minor injuries to legs,-32.0,116.0,Yes,"Waterman's Bay, Western Australia, AUSTRALIA",,0.9,1.0
18,2018-01-17,2018.0,FRENCH POLYNESIA,,Makemo atoll,Superficial bite to right thigh and left knee.,,,Yes,,,0.0,
19,2017-11-02,2017.0,USA,Hawaii,Makaha,Minor cuts to lower left leg,21.0,-158.0,Yes,"Makaha, Hawaii, USA",,1.0,1.0
20,2017-07-22,2017.0,USA,Florida,"Snipes Point, Monroe County",Foot bitten,29.0,-81.0,Yes,"Florida, USA",,1.0,5.0
21,2017-04-22,2017.0,ST HELENA,Ascension Island,English Bay,Calf & foot bitten,,,Yes,"English Bay, Ascension Island, ST HELENA",,0.64,
22,2017-04-10,2017.0,USA,Florida,"Melbourne Beach, Brevard County",Laceration to calf,28.0,-81.0,Yes,"Melbourne Beach, Brevard County, Florida, USA",,1.0,1.0
23,2017-04-06,2017.0,USA,Florida,"Daytona, Volusia County",Foot injured,29.0,-81.0,Yes,"Daytona, Volusia County, Florida, USA",,0.9,1.0
24,2016-09-11,2016.0,USA,Florida,"Ponte Vedra, St. Johns County",Minor injury to arm,30.0,-81.0,Yes,"Ponte Vedra, St. Johns County, Florida, USA",,0.9,1.0
25,2016-07-07,2016.0,USA,California,"Off Palos Verdes peninsula, Los Angeles County","No injury. Hull bitten, tooth fragment recovered",34.0,-118.0,Yes,"Off Palos Verdes peninsula, Los Angeles County, California, USA",,1.0,1.0
26,2016-05-21,2016.0,USA,Florida,"Hugenot Beach , Jacksonville, Duval County","Back, arm & hand injured",30.0,-82.0,Yes,"Hugenot Beach , Jacksonville, Duval County, Florida, USA",,1.0,1.0
27,2016-03-02,2016.0,BRAZIL,Santa Catarina State,Escalerio Beach Balneário Camboriú,Minor injury to head,-27.0,-49.0,Yes,"Escalerio Beach Balneário Camboriú, BRAZIL",,1.0,4.0
28,2016-01-28,2016.0,USA,Hawaii,"Hanalei Bay, Kauai",Lacerations to both hands,22.0,-160.0,Yes,"Hanalei Bay, Kauai, Hawaii, USA",,1.0,1.0
29,2015-10-28,2015.0,USA,Hawaii,"Malaka, Oahu","Lacerations & puncture wounds to right thigh, calf & ankle",20.0,-155.0,Yes,"Oahu, Hawaii, USA",,1.0,2.0
30,2015-08-29,2015.0,USA,California,"Morro Strand State Beach, San Luis Obispo County","No injury, surfboard bitten",35.0,-120.0,Yes,"San Luis Obispo County, California, USA",,0.9,2.0
31,2015-08-29,2015.0,USA,California,"Morro Bay, San Luis Obispo County","No injury, shark struk sufer's leg and his board",35.0,-121.0,Yes,"Morro Bay, San Luis Obispo County, California, USA",,1.0,1.0
32,2015-08-18,2015.0,USA,California,Santa Barbara County,"No injury, kayak bitten",35.0,-120.0,Yes,"Santa Barbara County, California, USA",,0.9,1.0
33,2015-05-09,2015.0,NEW CALEDONIA,,Kouare,FATAL,-22.0,166.0,Yes,"Kouare, NEW CALEDONIA",,1.0,1.0
34,2014-08-16,2014.0,AUSTRALIA,Western Australia,Gnaraloo,Lacerations to face and neck,-24.0,114.0,Yes,"Gnaraloo, AUSTRALIA",,1.0,4.0
35,2014-07-09,2014.0,USA,Florida,"New Smyrna Beach, Volusia County",Lacerations to foot,29.0,-81.0,Yes,"New Smyrna Beach, Volusia County, Florida, USA",,1.0,1.0
36,2014-05-11,2014.0,USA,Georgia,"Tybee Island, Chatham County",Puncture wounds to right thigh,32.0,-81.0,Yes,"Tybee Island, Chatham County, Georgia, USA",,1.0,1.0
37,2013-11-29,2013.0,USA,Hawaii,"Keawekapu Beach, Kihei, Maui",Right calf bitten,21.0,-156.0,Yes,"Keawekapu Beach, Kihei, Maui, Hawaii, USA",,1.0,1.0
38,2013-10-28,2013.0,AUSTRALIA,Western Australia,Turquoise Bay,Lacerations to right arm,-22.0,114.0,Yes,"Turquoise Bay, Western Australia, AUSTRALIA",,0.9,1.0
39,2013-10-23,2013.0,USA,Hawaii,"Waiehu, Maui",3 laceration to left hip,21.0,-156.0,Yes,"Waiehu, Maui, Hawaii, USA",,1.0,1.0
40,2013-04-28,2013.0,AUSTRALIA,New South Wales,Emerald Beach,Foot bitten by landed shark PROVOKED INCIDENT,-30.0,153.0,Yes,"Emerald Beach, New South Wales, AUSTRALIA",,1.0,1.0
41,2012-11-04,2012.0,USA,Hawaii,"Davidson's Surf Break, Kekaha, Kaua'i","No injury, surfboard bitten",22.0,-160.0,Yes,"Davidson's Surf Break, Kekaha, Kaua'i, Hawaii, USA",,1.0,1.0
42,2012-08-04,2012.0,FRENCH POLYNESIA,Tuamotus,Kaukura Atoll,Shoulder bitten,,,Yes,"Kaukura Atoll, Tuamotus, FRENCH POLYNESIA",,0.0,
43,2012-07-14,2012.0,AUSTRALIA,Western Australia,Off Wedge Island,FATAL,-32.0,116.0,Yes,"Off Wedge Island, Western Australia, AUSTRALIA",,0.9,1.0
44,2012-06-22,2012.0,USA,Florida,"Bathtub Reef  Beach, Stuart, Martin County",Minor injury,27.0,-80.0,Yes,"Bathtub Reef  Beach, Stuart, Martin County, Florida, USA",,1.0,1.0
45,2012-06-14,2012.0,USA,South Carolina,"Myrtle Beach, Horry County",Laceration to right foot,34.0,-79.0,Yes,"Myrtle Beach, Horry County, South Carolina, USA",,1.0,1.0
46,2012-04-03,2012.0,USA,Hawaii,"Leftovers near Chun's Reef, Oahu",Lacerations to left foot,20.0,-155.0,Duplicate,"Oahu, Hawaii, USA",,0.125,2.0
47,2012-01-19,2012.0,AUSTRALIA,Western Australia,Coral Bay,Lacerations to right forearm,-23.0,114.0,Yes,"Coral Bay, Western Australia, AUSTRALIA",,1.0,1.0
48,2011-11-20,2011.0,PAPUA NEW GUINEA,East New Britain,Pigeon Island,"No injury, shark collided with diver",-5.0,152.0,Yes,"Pigeon Island, East New Britain, PAPUA NEW GUINEA",,1.0,1.0
49,2011-09-04,2011.0,USA,Hawaii,"Nimitz State Beach, Oahu","No injury, shark bit surfboard",20.0,-155.0,Duplicate,"Oahu, Hawaii, USA",,0.567,2.0
50,2011-08-24,2011.0,USA,North Carolina,"Buxton Beach, Dare County",Lacerations to foot,35.0,-76.0,Yes,"Buxton Beach, Dare County, North Carolina, USA",,0.9,1.0
51,2011-08-24,2011.0,USA,North Carolina,Holden Beach. Brunswick County,Heel bitten,34.0,-78.0,Yes,"Holden Beach. Brunswick County, North Carolina, USA",,1.0,1.0
52,2011-07-13,2011.0,BAHAMAS,Grand Bahama Island,Off Lucaya,Injuries to arm,27.0,-79.0,Yes,"Off Lucaya, BAHAMAS",,1.0,4.0
53,2010-10-23,2010.0,USA,Maine,"Burnt Cove near Eastport, Washington County","No injury to diver, shark bit his video camera",45.0,-67.0,Yes,"Burnt Cove near Eastport, Washington County, USA",,1.0,4.0
54,2010-10-02,2010.0,BAHAMAS,Abaco Islands,Elbow Cay,Bitten between left ankle & knee,27.0,-77.0,Yes,"Elbow Cay, BAHAMAS",,1.0,4.0
55,2010-07-11,2010.0,USA,Florida,"Lauderdale-by-the-Sea, Broward County",Small laceration to forearm from netted shark  PROVOKED INCIDENT,26.0,-80.0,Yes,"Lauderdale-by-the-Sea, Broward County, Florida, USA",,1.0,1.0
56,2010-01-27,2010.0,AUSTRALIA,Queensland,Archie's Beach,"No injury, surfboard bitten",-22.0,145.0,Duplicate,"Queensland, AUSTRALIA",,0.0,5.0
57,2010-01-09,2010.0,VIETNAM,Binh Dinh Province,Quy Nhon,Minor injuries,14.0,109.0,Yes,"Quy Nhon, Binh Dinh Province, VIETNAM",,1.0,1.0
58,2010-01-06,2010.0,USA,Florida,Elliot Key,Lacerations to  arm,29.0,-81.0,Duplicate,"Florida, USA",,0.0,5.0
59,2009-05-12,2009.0,GUAM,North Region,Ritidian Point,Speared shark bit his forearm PROVOKED INCIDENT,14.0,145.0,Yes,"Ritidian Point, GUAM",,0.81,4.0
60,2008-01-14,2008.0,NEW ZEALAND,North Island,Omaha Beach,"No injury to occupants, pontoon punctured",-36.0,175.0,Yes,"Omaha Beach, North Island, NEW ZEALAND",,1.0,1.0
61,2007-09-20,2007.0,USA,Florida,"New Smyrna Beach, Volusia County",Small lacerations to bottom of right big toe,29.0,-81.0,Duplicate,"New Smyrna Beach, Volusia County, Florida, USA",,,1.0
62,2007-09-13,2007.0,USA,Florida,"Lauderdale-by-the-Sea, Broward County","Minor injury, shark latched onto his abdomen",26.0,-80.0,Duplicate,"Lauderdale-by-the-Sea, Broward County, Florida, USA",,,1.0
63,2006-08-20,2006.0,REUNION ISLAND,Saint-Pierre,Pointe du Diable,FATAL,,,Yes,"Pointe du Diable, Saint-Pierre, REUNION ISLAND",,0.25,
64,2006-07-08,2006.0,USA,South Carolina,"Debordieu Beach, Georgetown County",Foot bitten,33.0,-79.0,Yes,"Debordieu Beach, Georgetown County, South Carolina, USA",,0.9,1.0
65,2006-06-15,2006.0,USA,Florida,"New Smyrna Beach, Volusia County",Four 1-inch puncture wounds on left foot,29.0,-81.0,Duplicate,"New Smyrna Beach, Volusia County, Florida, USA",,,1.0
